STT;Ma nganh;SBD;NV;Xep hang;Khoi xet tuyen;Diem uu tien;Diem uu tien quy doi;Diem KK;Tong diem
1;D110105;TDV014030;3;1;A;1,5;1,5;0;29
2;D110105;TND007283;3;2;A;3,5;3,5;0;27,25
3;D110105;HDT006634;3;3;A;1;1;0;26,5
4;D110105;HDT007012;2;3;A;1;1;0;26,5
5;D110105;TND011857;4;3;D1;1,5;1,5;0;26,5
6;D110105;HDT015876;2;6;B;1,5;1,5;0;26,25
7;D110105;KQH016205;4;6;A;1;1;0;26,25
8;D110105;SPH000005;4;6;D1;1;1;0;26,25
9;D110105;TND007573;2;9;A;3,5;3,5;0;25,75
10;D110105;YTB021931;4;10;A;1;1;0;25,5
11;D110105;HDT010054;2;11;A;1;1;0;25,25
12;D110105;HDT027280;3;11;A;1;1;0;25,25
13;D110105;HHA016426;4;11;A;0,5;0,5;0;25,25
14;D110105;LNH008956;3;11;A;0,5;0,5;0;25,25
15;D110105;YTB002074;3;11;A;1;1;0;25,25
16;D110105;HDT017598;4;16;A;3,5;3,5;0;25
17;D110105;HHA012513;4;16;A1;1,5;1,5;0;25
18;D110105;HVN009708;4;16;A;1;1;0;25
19;D110105;SPH002984;4;16;A;0,5;0,5;0;25
20;D110105;SPH013963;3;16;A;1;1;0;25
21;D110105;TND026653;1;16;A;3,5;3,5;0;25
22;D110105;YTB008484;4;16;A;1;1;0;25
23;D110105;BKA006551;4;23;A;1;1;0;24,75
24;D110105;HDT012331;2;23;A;1;1;0;24,75
25;D110105;HHA010218;3;23;B;1;1;0;24,75
26;D110105;HVN002722;4;23;A;1;1;0;24,75
27;D110105;LNH006338;1;23;A;3,5;3,5;0;24,75
28;D110105;SPH009997;4;23;D1;1,5;1,5;0;24,75
29;D110105;TDV035248;4;23;A;2;2;0;24,75
30;D110105;THV014743;4;23;A;1,5;1,5;0;24,75
31;D110105;TND012832;3;23;D1;0,5;0,5;0;24,75
32;D110105;YTB014147;4;23;B;1;1;0;24,75
33;D110105;YTB018411;4;23;A;1;1;0;24,75
34;D110105;BKA007005;3;34;A;1;1;0;24,5
35;D110105;DCN009243;4;34;A;0,5;0,5;0;24,5
36;D110105;HDT007237;4;34;A;0,5;0,5;0;24,5
37;D110105;HDT008547;4;34;A;0,5;0,5;0;24,5
38;D110105;HHA008454;2;34;A;0,5;0,5;0;24,5
39;D110105;HHA010428;4;34;A;0,5;0,5;0;24,5
40;D110105;HVN005186;4;34;A1;0;0;0;24,5
41;D110105;SPH000492;3;34;A1;0;0;0;24,5
42;D110105;THP014342;4;34;A;0,5;0,5;0;24,5
43;D110105;TND009690;3;34;D1;1;1;0;24,5
44;D110105;TTB003865;4;34;A;1,5;1,5;0;24,5
45;D110105;HDT015003;4;45;A;1;1;0;24,25
46;D110105;HHA008908;4;45;A;0,5;0,5;0;24,25
47;D110105;KQH004650;4;45;A;1;1;0;24,25
48;D110105;SPH005434;4;45;A;0,5;0,5;0;24,25
49;D110105;TDV030112;3;45;A;1,5;1,5;0;24,25
50;D110105;THP004918;4;45;A;0,5;0,5;0;24,25
51;D110105;TLA011035;4;45;A;1;1;0;24,25
52;D110105;TND001990;3;45;A;1,5;1,5;0;24,25
53;D110105;YTB010763;4;45;B;1;1;0;24,25
54;D110105;DCN000179;4;54;A;0,5;0,5;0;24
55;D110105;HHA002879;4;54;A;0;0;0;24
56;D110105;HVN012072;3;54;A;0;0;0;24
57;D110105;KHA001188;4;54;A1;0,5;0,5;0;24
58;D110105;LNH010965;3;54;A;0,5;0,5;0;24
59;D110105;SPH000273;2;54;A1;0;0;0;24
60;D110105;SPH013165;4;54;A;1;1;0;24
61;D110105;TDV026897;3;54;A;1,5;1,5;0;24
62;D110105;TDV032472;4;54;A;1;1;0;24
63;D110105;THP013297;4;54;A;0,5;0,5;0;24
64;D110105;YTB017661;4;54;A;1;1;0;24
65;D110105;BKA008866;4;65;A;0;0;0;23,75
66;D110105;HDT001256;4;65;A;1;1;0;23,75
67;D110105;HHA011186;4;65;D1;0;0;0;23,75
68;D110105;HVN001652;4;65;A;1;1;0;23,75
69;D110105;HVN010417;4;65;A;0,5;0,5;0;23,75
70;D110105;KHA000669;4;65;A;0,5;0,5;0;23,75
71;D110105;TDV024249;3;65;A;0,5;0,5;0;23,75
72;D110105;THP011588;4;65;A;1;1;0;23,75
73;D110105;THV006125;4;65;A;1,5;1,5;0;23,75
74;D110105;TND016601;3;65;A;0,5;0,5;0;23,75
75;D110105;TND024350;3;65;A;3,5;3,5;0;23,75
76;D110105;YTB009164;2;65;A;1;1;0;23,75
77;D110105;YTB015329;4;65;A;1;1;0;23,75
78;D110105;YTB023232;4;65;A;1;1;0;23,75
79;D110105;DCN008261;4;79;A;1;1;0;23,5
80;D110105;HDT000264;3;79;A;1;1;0;23,5
81;D110105;HDT016602;4;79;A;1;1;0;23,5
82;D110105;HDT018410;4;79;A;1,5;1,5;0;23,5
83;D110105;KHA008340;3;79;A;1;1;0;23,5
84;D110105;KHA008520;3;79;A;0,5;0,5;0;23,5
85;D110105;KHA010713;4;79;A;1;1;0;23,5
86;D110105;TDV028426;4;79;A;1;1;0;23,5
87;D110105;THP014245;4;79;A;0,5;0,5;0;23,5
88;D110105;THV009809;4;79;A;3,5;3,5;0;23,5
89;D110105;TLA002322;4;79;A1;0;0;0;23,5
90;D110105;TND026722;4;79;A;3,5;3,5;0;23,5
91;D110105;TTB002833;4;79;A;1,5;1,5;0;23,5
92;D110105;YTB014438;3;79;A;1;1;0;23,5
93;D110105;YTB019129;3;79;A;1;1;0;23,5
94;D110105;BKA002044;4;94;A;1;1;0;23,25
95;D110105;BKA010661;4;94;A1;0;0;0;23,25
96;D110105;DCN009805;3;94;A;1;1;0;23,25
97;D110105;HDT004314;4;94;A;1;1;0;23,25
98;D110105;HHA001119;4;94;A1;0;0;0;23,25
99;D110105;HHA001979;4;94;A;1,5;1,5;0;23,25
100;D110105;HHA005306;4;94;A;0;0;0;23,25
101;D110105;HHA008160;2;94;D1;0,5;0,5;0;23,25
102;D110105;HHA008307;3;94;A;0,5;0,5;0;23,25
103;D110105;HHA011984;4;94;A;0;0;0;23,25
104;D110105;HVN004754;3;94;D1;0,5;0,5;0;23,25
105;D110105;KHA006297;1;94;A;0,5;0,5;0;23,25
106;D110105;KHA010802;3;94;A;0;0;0;23,25
107;D110105;KQH001038;2;94;A;0,5;0,5;0;23,25
108;D110105;KQH004422;3;94;A;0,5;0,5;0;23,25
109;D110105;KQH004672;3;94;A;0,5;0,5;0;23,25
110;D110105;KQH008203;3;94;A;0,5;0,5;0;23,25
111;D110105;SPH015904;2;94;A;1;1;0;23,25
112;D110105;SPH019658;4;94;D1;0;0;0;23,25
113;D110105;TDV008906;3;94;A;1;1;0;23,25
114;D110105;TDV010025;4;94;A;1;1;0;23,25
115;D110105;THP002807;3;94;A;1;1;0;23,25
116;D110105;THP006432;3;94;A;0,5;0,5;0;23,25
117;D110105;YTB002379;3;94;A;1;1;0;23,25
118;D110105;YTB003169;3;94;A;1;1;0;23,25
119;D110105;YTB008340;4;94;A;1;1;0;23,25
120;D110105;YTB015382;4;94;A;1;1;0;23,25
121;D110105;BKA006813;4;121;A;1;1;0;23
122;D110105;BKA007067;4;121;A;1;1;0;23
123;D110105;BKA009898;3;121;A;2;2;0;23
124;D110105;DCN003558;3;121;A;0,5;0,5;0;23
125;D110105;HDT003654;4;121;A;1;1;0;23
126;D110105;HDT006423;4;121;A;1,5;1,5;0;23
127;D110105;HDT016419;2;121;A;1;1;0;23
128;D110105;HDT024531;4;121;A;1;1;0;23
129;D110105;HDT026474;4;121;B;1;1;0;23
130;D110105;HHA003716;4;121;D1;1,5;1,5;0;23
131;D110105;HHA015934;3;121;A1;1;1;0;23
132;D110105;KHA004943;4;121;A;0;0;0;23
133;D110105;LNH001571;4;121;A;0,5;0,5;0;23
134;D110105;SPH001718;2;121;A1;1;1;0;23
135;D110105;SPH010821;3;121;D1;0;0;0;23
136;D110105;TDV008908;3;121;D1;1;1;0;23
137;D110105;TDV013737;4;121;D1;1,5;1,5;0;23
138;D110105;THP002634;3;121;A;1;1;0;23
139;D110105;THP004558;4;121;D1;1;1;0;23
140;D110105;THP009443;3;121;A;1;1;0;23
141;D110105;THP010960;4;121;A;2;2;0;23
142;D110105;THP012372;3;121;A;1;1;0;23
143;D110105;THP016380;4;121;A;0;0;0;23
144;D110105;TLA007018;4;121;A1;0;0;0;23
145;D110105;TND012463;4;121;A1;3,5;3,5;0;23
146;D110105;YTB016378;3;121;A;1;1;0;23
147;D110105;BKA005832;2;147;A;1;1;0;22,75
148;D110105;HDT013105;3;147;A;1;1;0;22,75
149;D110105;HDT016198;3;147;D1;0,5;0,5;0;22,75
150;D110105;HDT018892;2;147;A;1;1;0;22,75
151;D110105;HDT030156;4;147;A;1;1;0;22,75
152;D110105;HDT030170;2;147;A;1;1;0;22,75
153;D110105;HHA006742;3;147;A;0,5;0,5;0;22,75
154;D110105;KHA005523;2;147;A1;0;0;0;22,75
155;D110105;KQH000111;4;147;D1;0,5;0,5;0;22,75
156;D110105;TDV012100;2;147;A;1;1;0;22,75
157;D110105;THP011926;2;147;A;1;1;0;22,75
158;D110105;THV009257;4;147;B;1,5;1,5;0;22,75
159;D110105;TND008816;4;147;B;1;1;0;22,75
160;D110105;TND020060;3;147;A1;3,5;3,5;0;22,75
161;D110105;TND020814;4;147;B;1,5;1,5;0;22,75
162;D110105;TTB003732;2;147;A;3,5;3,5;0;22,75
163;D110105;YTB012303;4;147;A;1;1;0;22,75
164;D110105;YTB018220;1;147;A;1;1;0;22,75
165;D110105;BKA004168;4;165;A;0;0;0;22,5
166;D110105;BKA004249;4;165;A;0;0;0;22,5
167;D110105;BKA010605;3;165;A;1;1;0;22,5
168;D110105;BKA012597;4;165;A;1,5;1,5;0;22,5
169;D110105;HDT008505;4;165;A;1;1;0;22,5
170;D110105;HHA004656;2;165;A;1,5;1,5;0;22,5
171;D110105;HHA005754;2;165;A;0,5;0,5;0;22,5
172;D110105;HHA008093;4;165;A;0,5;0,5;0;22,5
173;D110105;KHA004612;3;165;D1;0;0;0;22,5
174;D110105;KHA006348;2;165;D1;0;0;0;22,5
175;D110105;KQH000316;2;165;A;0,5;0,5;0;22,5
176;D110105;LNH005079;3;165;A1;0,5;0,5;0;22,5
177;D110105;LNH008676;4;165;A;0,5;0,5;0;22,5
178;D110105;SPH010293;3;165;A;1;1;0;22,5
179;D110105;THP006422;4;165;A;0,5;0,5;0;22,5
180;D110105;THP007005;4;165;A;1;1;0;22,5
181;D110105;TLA000992;4;165;A;0,5;0,5;0;22,5
